selection_rank,selection_score,selection_band,compiler_action,record_class,source_note_status,selection_flags,country_risk_level,country_risk_score,primary_chapter_country,countries,sort_date,display_date,volume_date_scope,document_type,title,subject_or_context,priority_or_release_status,source_score,page_count_or_range,themes_or_topics,same_date_diary_backup_count,nearby_high_priority_print_lead_count,nearby_high_priority_print_leads,nearby_private_records_14_days,nearby_public_statement_count_7_days,source_series,source_folder_or_title,source_note,provenance_note,pdf_url,catalog_or_details_url,page_link,record_id
21,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,95,Chile,Chile,1989-08-18,"August 18, 1989",Volume date range,Memorandum,Request That You Meet with the Chilean Chief of,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy, ussr/cuba; document text visible in OCR",High,90,29,"democracy; presidential diplomacy; ussr/cuba",,,,,,Latin American Affairs Directorate Subject Files,"Chile - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00195, CF00195-005, Chile - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2004-0731-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf,https://catalog.archives.gov/id/470766562,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00195-005.pdf#page=29,subject-print-470766562-29-memorandum
22,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-06-05,"June 5, 1989",Volume date range,Memorandum,Letters for Families of Victims Killed in Peru on,"memorandum form; Presidential or NSC principals; narcotics, drug, presidential diplomacy; document text visible in OCR",High,90,57,"narcotics; drug; presidential diplomacy",,,,,,Latin American Affairs Directorate Subject Files,"Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [2]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00194, CF00194-014, Drug / Anti-Narcotics - January 20, 1989-December 31, 1989 [2]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-014.pdf,https://catalog.archives.gov/id/470766551,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00194-014.pdf#page=57,subject-print-470766551-57-memorandum
23,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-09-07,"September 7, 1989",Volume date range,Memorandum,Vargas Llosa,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,91,"democracy; presidential diplomacy",,,,,,Latin American Directorate Chronological Files,"September 1, 1989-September 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-015, September 1, 1989-September 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf,https://catalog.archives.gov/id/470766452,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf#page=91,chronological-print-470766452-91-memorandum
24,134,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-09-13,"September 13, 1989",Volume date range,Memorandum,Meeting with Amnesty International CHRON,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,52,"democracy; presidential diplomacy",,,,,,Latin American Directorate Chronological Files,"September 1, 1989-September 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-015, September 1, 1989-September 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf,https://catalog.archives.gov/id/470766452,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf#page=52,chronological-print-470766452-52-memorandum
25,130,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Medium,32,Uruguay,Uruguay,1989-09-13,"September 13, 1989",Volume date range,Memorandum,Presidential Meeting with Uruguayan President,"memorandum form; Presidential or NSC principals; narcotics, debt and economy, presidential diplomacy; document text visible in OCR",High,90,38,"narcotics; debt and economy; presidential diplomacy; panama spillover",,,,+2d 1989-09-15 - Memorandum of Conversation,,Latin American Directorate Chronological Files,"September 1, 1989-September 15, 1989 [1]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-015, September 1, 1989-September 15, 1989 [1]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf,https://catalog.archives.gov/id/470766452,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-015.pdf#page=38,chronological-print-470766452-38-memorandum
26,130,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Medium,32,Uruguay,Uruguay,1989-09-13,"September 13, 1989",Volume date range,Memorandum,Presidential Meeting with Uruguayan President,"memorandum form; Presidential or NSC principals; narcotics, debt and economy, presidential diplomacy; document text visible in OCR",High,90,72,"narcotics; debt and economy; presidential diplomacy; panama spillover",,,,+2d 1989-09-15 - Memorandum of Conversation,,Latin American Affairs Directorate Subject Files,"Uruguay - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=72,subject-print-470766531-72-memorandum
27,130,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Medium,32,Uruguay,Uruguay,1989-09-15,"September 15, 1989",Volume date range,Memorandum,Presidential Meeting with Uruguayan President,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, panama spillover; document text visible in OCR",High,90,97,"debt and economy; presidential diplomacy; panama spillover",,,,+0d 1989-09-15 - Memorandum of Conversation,,Latin American Affairs Directorate Subject Files,"Uruguay - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-016, Uruguay - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf,https://catalog.archives.gov/id/470766531,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-016.pdf#page=97,subject-print-470766531-97-memorandum
28,128,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,89,Paraguay,Paraguay,1989-09-18,"September 18, 1989",Volume date range,Memorandum,Presidential Letter to Jamaican Prime Minister,"memorandum form; Presidential or NSC principals; presidential diplomacy, panama spillover; document text visible in OCR",High,90,103,"presidential diplomacy; panama spillover",,,,,,Latin American Directorate Chronological Files,"September 16, 1989-September 30, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Chronological Files, OA/ID CF00302, CF00302-020, September 16, 1989-September 30, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf,https://catalog.archives.gov/id/470766457,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Chronological_2197972/41-bpr-nsc-lat_amer_dir-chron-cf00302-020.pdf#page=103,chronological-print-470766457-103-memorandum
29,128,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Critical,87,Peru,Peru,1989-05-20,"May 20, 1989",Volume date range,Memorandum,Letters to Families of Peru Victims and Phone Call,"memorandum form; Presidential or NSC principals; narcotics, presidential diplomacy; document text visible in OCR",High,78,36,"narcotics; presidential diplomacy",,,,-7d 1989-05-13 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Peru - January 20, 1989-December 31, 1989","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00193, CF00193-003, Peru - January 20, 1989-December 31, 1989. Access restriction: Restricted - Possibly. FOIA 2001-0010-F.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf,https://catalog.archives.gov/id/470766518,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00193-003.pdf#page=36,subject-print-470766518-36-memorandum
30,128,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,28,Argentina,"Argentina; Brazil",1990-12-06,"December 6, 1990",Volume date range,Memorandum,Uruguay Round Report,"memorandum form; Presidential or NSC principals; debt and economy, presidential diplomacy, trade policy; document text visible in OCR",High,92,6,"debt and economy; presidential diplomacy; trade policy; environment",,,,"-1d 1990-12-05 - Memorandum of Conversation; -1d 1990-12-05 - Memorandum of Conversation; -3d 1990-12-03 - Memorandum of Conversation",,Timothy E. Deal Subject Files,Uruguay Round [6],"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00972, CF00972-031, Uruguay Round [6]. Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-031.pdf,https://catalog.archives.gov/id/452050622,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00972-031.pdf#page=6,deal-print-452050622-6-memorandum
31,128,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"regional_no_single_country; ocr_lead_verify_page_image; high_priority_print_candidate",,,Regional/No single country,,1992-01-22,"January 22, 1992",Volume date range,Briefing Paper,BACKGROUND PAPER ON ENTERPRISE FOR THE AMERICAS INITIATIVE SUBJECT. ACTION FYI ACTION = FYI,"Presidential or NSC principals; enterprise for the americas, debt and economy, presidential diplomacy; document text visible in OCR",High,100,7,"enterprise for the americas; debt and economy; presidential diplomacy",,,,,,Timothy E. Deal Subject Files,Enterprise for the Americas Initiative (EAI),"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Deal, Timothy E., Files, Subject Files, OA/ID CF00962, CF00962-019, Enterprise for the Americas Initiative (EAI). Access restriction: Restricted - Possibly. FOIA 2023-1227-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf,https://catalog.archives.gov/id/452050545,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/deal/subject_2554810/41-bpr-nsc-deal-subj-cf00962-019.pdf#page=7,deal-print-452050545-7-briefing-paper
32,126,Top print lead,Verify page image/OCR and compare against the private chronology before print selection.,Print-candidate lead,FRUS-style ready,"ocr_lead_verify_page_image; high_priority_print_candidate",Monitor,26,Argentina,Argentina,1989-05-08,"May 8, 1989",Volume date range,Memorandum,PCC Meeting on Argentina,"memorandum form; Presidential or NSC principals; democracy, presidential diplomacy; document text visible in OCR",High,90,31,"democracy; presidential diplomacy",,,,+5d 1989-05-13 - Memorandum of Telephone Conversation,,Latin American Affairs Directorate Subject Files,"Argentina - January 20, 1989-December 31, 1989 [4]","Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Latin American Affairs Directorate Files, Subject File 1989, OA/ID CF00189, CF00189-008, Argentina - January 20, 1989-December 31, 1989 [4]. Access restriction: Restricted - Possibly. FOIA 2015-0017-S.",,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf,https://catalog.archives.gov/id/470766481,https://s3.dualstack.us-east-1.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/Latin_Amer_Aff_Dir_Files/Subject_376217847/41-bpr-nsc-lat_amer_dir-subj-cf00189-008.pdf#page=31,subject-print-470766481-31-memorandum
